x (km),t (h),Density (veh/km),Speed (Km/h),Flow (veh/h)
465.15,6,11.70046801872075,128.2,1500
465.15,6.016666666666667,12.248186946011284,124.1,1520
465.15,6.033333333333333,17.41424802110818,113.7,1980
465.15,6.05,12.383375742154367,117.9,1460
465.15,6.066666666666666,15.949820788530467,111.6,1780
465.15,6.083333333333333,17.20226843100189,105.8,1820
465.15,6.1,14.642857142857142,112,1640
465.15,6.116666666666666,16.904083570750238,105.3,1780
465.15,6.133333333333334,14.31064572425829,114.6,1640
465.15,6.15,16.652059596844875,114.1,1900
465.15,6.166666666666667,16.991150442477878,113,1920
465.15,6.183333333333334,16.247582205029012,103.4,1680
465.15,6.2,14.422241529105127,115.1,1660
465.15,6.216666666666667,19.61904761904762,105,2060
465.15,6.233333333333333,9.069212410501192,125.7,1140
465.15,6.25,16.80517082179132,108.3,1820
465.15,6.266666666666667,14.43850267379679,112.2,1620
465.15,6.283333333333333,12.972085385878492,121.8,1580
465.15,6.3,18.116591928251122,111.5,2020
465.15,6.316666666666666,15.743944636678199,115.6,1820
465.15,6.333333333333333,14.505119453924914,117.2,1700
465.15,6.35,11.111111111111109,118.8,1320
465.15,6.366666666666666,20.73298429319372,95.5,1980
465.15,6.383333333333334,14.285714285714285,117.6,1680
465.15,6.4,12.521150592216582,118.2,1480
465.15,6.416666666666667,15.718157181571815,110.7,1740
465.15,6.433333333333334,17.455896007428038,107.7,1880
465.15,6.45,15.223596574690774,105.1,1600
465.15,6.466666666666667,10.338983050847462,118,1220
465.15,6.483333333333333,17.68579492003763,106.3,1880
465.15,6.5,15.00938086,106.6,1600
465.15,6.516666666666667,15.11520737327189,108.5,1640
465.15,6.533333333333333,18.32512315270936,101.5,1860
465.15,6.55,16.650717703349287,104.5,1740
465.15,6.566666666666666,11.913357400722024,110.8,1320
465.15,6.583333333333333,14.14503133393017,111.7,1580
465.15,6.6,18.99335232668566,105.3,2000
465.15,6.616666666666666,15.843429636533086,107.3,1700
465.15,6.633333333333334,11.874469889737064,117.9,1400
465.15,6.65,14.794520547945206,109.5,1620
465.15,6.666666666666667,15.574548907882242,105.3,1640
465.15,6.683333333333334,15.51246537396122,108.3,1680
465.15,6.7,7.802547770700637,125.6,980
465.15,6.716666666666667,19.40144478844169,96.9,1880
465.15,6.733333333333333,21.65898617511521,86.8,1880
465.15,6.75,19.00647948164147,92.6,1760
465.15,6.766666666666667,17.008196721311478,97.6,1660
465.15,6.783333333333333,13.120567375886527,112.8,1480
465.15,6.8,15.721393034825873,100.5,1580
465.15,6.816666666666666,17.853560682046137,99.7,1780
465.15,6.833333333333333,16.795580110497234,90.5,1520
465.15,6.85,18.234165067178505,104.2,1900
465.15,6.866666666666666,16.544117647058822,108.8,1800
465.15,6.883333333333334,12.424503882657467,115.9,1440
465.15,6.9,15.774099318403115,102.7,1620
465.15,6.916666666666667,15.472779369627506,104.7,1620
465.15,6.933333333333334,15.221579961464355,103.8,1580
465.15,6.95,12.635078969243558,120.3,1520
465.15,6.966666666666667,12.744265080713678,117.7,1500
465.15,6.983333333333333,13.656783468104225,111.3,1520
465.15,7,13.451327433628318,113,1520
465.15,7.016666666666667,12.703862660944205,116.5,1480
465.15,7.033333333333333,10.578512396694217,121,1280
465.15,7.05,15.939278937381404,105.4,1680
465.15,7.066666666666666,14.113277623026926,107.7,1520
465.15,7.083333333333333,12.765957446808512,108.1,1380
465.15,7.1,16.473072861668427,94.7,1560
465.15,7.116666666666666,15.120967741935484,99.2,1500
465.15,7.133333333333334,15.256008359456635,95.7,1460
465.15,7.15,13.632119514472455,107.1,1460
465.15,7.166666666666667,15.236258437801348,103.7,1580
465.15,7.183333333333334,16.023166023166024,103.6,1660
465.15,7.2,13.568773234200744,107.6,1460
465.15,7.216666666666667,8.880994671403197,112.6,1000
465.15,7.233333333333333,17.640807651434645,94.1,1660
465.15,7.25,14.112903225806454,99.2,1400
465.15,7.266666666666667,13.76597836774828,101.7,1400
465.15,7.283333333333333,19.80830670926517,93.9,1860
465.15,7.3,19.506966773847804,93.3,1820
465.15,7.316666666666666,14.574898785425102,98.8,1440
465.15,7.333333333333333,17.400881057268723,90.8,1580
465.15,7.35,18.385650224215244,89.2,1640
465.15,7.366666666666666,16.542948038176036,94.3,1560
465.15,7.383333333333334,17.391304347826086,89.7,1560
465.15,7.4,13.66982124079916,95.1,1300
465.15,7.416666666666667,19.587628865979386,77.6,1520
465.15,7.433333333333334,20.74688796680498,72.3,1500
465.15,7.45,21.46189735614308,64.3,1380
465.15,7.466666666666667,26.492537313432837,53.6,1420
465.15,7.483333333333333,30.882352941176467,40.8,1260
465.15,7.5,31.196581196581203,46.8,1460
465.15,7.516666666666667,38.83495145631068,41.2,1600
465.15,7.533333333333333,26.66666666666667,52.5,1400
465.15,7.55,30.460921843687377,49.9,1520
465.15,7.566666666666666,24.513618677042803,51.4,1260
465.15,7.583333333333333,28.83295194508009,43.7,1260
465.15,7.6,31.395348837209305,34.4,1080
465.15,7.616666666666666,31.07769423558897,39.9,1240
465.15,7.633333333333334,30.85399449035813,36.3,1120
465.15,7.65,29.864253393665155,22.1,660
465.15,7.666666666666667,34.285714285714285,14,480
465.15,7.683333333333334,52.17391304347826,11.5,600
465.15,7.7,42.34234234234234,22.2,940
465.15,7.716666666666667,42.15686274509804,20.4,860
465.15,7.733333333333333,26.695842450765863,45.7,1220
465.15,7.75,23.655913978494624,55.8,1320
465.15,7.766666666666667,21.959459459459463,59.2,1300
465.15,7.783333333333333,29.00763358778626,52.4,1520
465.15,7.8,30.73684210526316,47.5,1460
465.15,7.816666666666666,40.20356234096693,39.3,1580
465.15,7.833333333333333,31.27572016460905,48.6,1520
465.15,7.85,32.88201160541586,51.7,1700
